"country";"confirmed";"death";"recovered";"active";"confirmed_cum";"death_cum";"recovered_cum";"active_cum";"long";"lat"
"Jamaica";0;0;5;-5;509;9;118;382;-77,2798380851746;18,1166504224141
"Japan";71;19;948;-896;16120;697;9868;5555;135,292383581699;35,4739283054877
"Jordan";4;0;1;3;586;9;393;184;36,7469280560811;31,329313715299
"Kazakhstan";154;0;123;31;5571;32;2531;3008;65,8300332052666;47,9022747608653
"Kenya";21;2;3;16;758;42;284;432;37,7093766615126;0,578422531957428
"Kosovo";25;0;19;6;944;29;690;225;20,8570379945967;42,5853814548916
"Kuwait";947;6;188;753;11975;88;3451;8436;47,8151685230768;29,4459771682967
"Kyrgyzstan";38;0;9;29;1082;12;735;335;73,1570829804411;40,9194704527707
"Laos";0;0;0;0;19;0;14;5;103,795938345102;18,4368892791944
"Latvia";11;0;0;11;962;19;627;316;25,3694844927107;56,8674788066319
"Lebanon";8;0;0;8;886;26;236;624;35,9691547886018;33,8413247754497
"Lesotho";0;0;0;0;1;0;0;1;28,1996587778067;-29,6771357647784
"Liberia";2;0;4;-2;215;20;105;90;-9,08566174404227;6,99058956379513
"Libya";0;0;0;0;64;3;28;33;17,6940128274465;28,1859954878514
"Liechtenstein";0;0;0;0;82;1;55;26;9,54713554382324;47,1426752726237
"Lithuania";6;0;26;-20;1511;54;934;523;24,0800402856642;55,0830381578015
"Luxembourg";11;0;36;-25;3915;103;3665;147;6,06234932982403;49,7626318724259
"Madagascar";18;0;1;17;230;0;108;122;46,989032028313;-17,7339759267362
"Malawi";0;0;0;0;63;3;24;36;34,1043901560258;-12,7256955516582
"Malaysia";40;1;70;-31;6819;112;5351;1356;110,860331192466;3,96919089977306
"Maldives";27;0;5;22;982;4;45;933;73,4667216214267;3,81265981630846
"Mali";21;2;24;-5;779;46;436;297;-5,37822553095263;14,8470316934986
"Malta";14;0;7;7;522;6;443;73;14,3708497285843;35,9616270065308
"Mauritania";5;0;1;4;20;2;7;11;-11,6213830089272;19,7754765061946
"Mauritius";0;0;0;0;332;10;322;0;57,5453125803094;-20,2973376826236
"Mexico";2409;257;1485;667;42595;4477;28475;9643;-103,598038343608;24,2114148623838
"Moldova";147;9;52;86;5553;194;2228;3131;28,5453013861739;47,0632795295459
"Monaco";0;0;0;0;96;4;87;5;7,41164909090315;43,7547918047224
"Mongolia";56;0;0;56;98;0;15;83;102,917947292328;47,7782551672148
"Montenegro";0;0;2;-2;324;9;309;6;19,2575248013372;42,8171734602555
"Morocco";95;2;179;-86;6607;190;3310;3107;-9,02832483305879;28,4856708568075
"Mozambique";11;0;1;10;115;0;35;80;35,3200910970855;-17,1179693726334
"Namibia";0;0;1;-1;16;0;12;4;18,1413867422875;-21,8204558595698
"Nepal";-1;0;0;-1;249;0;35;214;84,3221619483268;28,0968792887017
"Netherlands";270;28;2;240;43680;5609;159;37912;5,32230224846103;52,0990468694809
"New Zealand";1;0;10;-9;1498;21;1421;56;147,19879097231;-40,8626786681144
"Nicaragua";0;0;0;0;25;8;7;10;-84,818595235998;13,0755174268376
"Niger";16;1;19;-4;876;50;677;149;6,37571959963032;15,3817034328685
"Nigeria";191;3;110;78;5162;167;1180;3815;7,75185225691114;8,55347138184768
"Norway";21;3;0;18;8196;232;32;7932;16,2435408890097;69,8769981461148
"Oman";322;1;14;307;4341;18;1303;3020;56,016899030395;21,7412671768126
"Pakistan";490;9;796;-315;35788;770;9695;25323;69,8040459427441;30,175477246687
"Panama";174;4;13;157;9118;260;6080;2778;-80,2385817426976;8,44707326385064
"Papua New Guinea";0;0;0;0;8;0;8;0;148,779223776613;-6,60847781341113
"Paraguay";14;0;2;12;754;11;184;559;-57,5828761089637;-23,7377891985823
"Peru";4298;98;827;3373;80604;2267;25151;53186;-73,975376627846;-7,44572269955116
"Philippines";258;18;86;154;11876;790;2337;8749;122,680671396086;11,4572961384337
"Poland";411;22;286;103;17615;883;6696;10036;19,0865157193775;51,4099779370465
"Portugal";187;9;16;162;28319;1184;3198;23937;-7,88703512632719;39,9308394770468
"Qatar";1733;0;213;1520;28272;14;3356;24902;51,1933564578786;25,1993050855749
"Romania";245;17;1092;-864;16247;1053;9053;6141;24,5292120675971;45,8446484725841
"Russia";9974;93;5527;4354;252245;2305;53530;196410;99,1667836484683;63,5447605943304
"Rwanda";0;0;4;-4;287;0;168;119;29,9235468485269;-2,00196726494525
"Saint Lucia";0;0;0;0;18;0;18;0;-60,9675331115723;13,9114061355591
"San Marino";5;0;11;-6;648;41;172;435;12,4521205084664;43,9413991655622
"Sao Tome and Principe";15;1;0;14;235;7;4;224;6,96478160944852;0,858782460743731
"Saudi Arabia";2039;10;1429;600;46869;283;19051;27535;44,8692707884202;23,1724234283517
"Senegal";84;2;60;22;2189;23;842;1324;-14,3806911672584;14,0332339172991
"Serbia";79;2;260;-183;10374;224;4084;6066;20,7511689761158;44,2524472068758
"Seychelles";0;0;0;0;11;0;10;1;55,4819464683533;-4,67993175983429
"Sierra Leone";21;0;0;21;408;26;97;285;-11,928333123525;8,53925432856121
"Singapore";752;0;1164;-412;26098;21;5973;20104;103,866559346517;1,36641702387068
"Slovakia";8;0;52;-44;1477;27;1112;338;19,6205913280619;48,8381906706711
"Slovenia";1;0;7;-6;1464;103;267;1094;14,8436923532775;46,12320394227
"Somalia";65;1;5;59;1284;53;135;1096;46,1792193919689;7,41494140075939
"South Africa";665;19;931;-285;12739;238;5676;6825;25,2998311746174;-28,8465438773729
"South Sudan";0;0;1;-1;203;0;3;200;30,3454697556291;7,91946699721682
"Spain";849;217;2551;-1919;229540;27321;143374;58845;-2,90682090616818;40,6799529790878
"Sri Lanka";10;0;63;-53;925;9;445;471;80,5123630191969;8,46955561637878
"Sudan";0;0;0;0;1818;90;198;1530;30,1360399899067;13,9933258991113
"Suriname";0;0;0;0;10;1;9;0;-56,0711611872134;3,72543920770935
"Sweden";673;69;0;604;28582;3529;4971;20082;17,5763054231769;61,8959092305844
"Switzerland";50;2;0;48;30463;1872;27100;1491;8,31295225582021;46,7415661327342
"Syria";0;0;0;0;48;3;29;16;38,0793456806856;35,1244250353645
"Tajikistan";106;6;0;100;907;29;0;878;70,752718400826;38,9563240216676
"Tanzania";0;0;0;0;509;21;183;305;35,0592348321955;-6,55002106440828
"Thailand";1;0;6;-5;3018;56;2850;112;100,709482173194;13,2486541757947
"Timor-Leste";0;0;0;0;24;0;21;3;125,524598148891;-8,90585790361677
"Togo";19;0;0;19;238;11;96;131;0,706518546257641;8,76530810256503
"Tunisia";0;0;11;-11;1032;45;770;217;9,90426644971294;34,2188042466358
"Turkey";1635;55;2315;-735;144749;4007;104030;36712;34,2949285303571;39,0660808671836
"Uganda";21;0;8;13;160;0;63;97;32,1278899722629;1,38492426552499
"Ukraine";422;17;427;-22;16847;456;4143;12248;31,2336948164093;48,4791987089984
"United Arab Emirates";698;2;407;289;21084;208;6930;13946;54,3875271948309;24,2576982571128
"Uruguay";5;0;2;3;724;19;547;158;-56,0183739828897;-32,2972610446957
"USA";27368;1779;2984;22605;1417774;85898;246414;1085462;-121,625310071961;48,7433333759119
"Uzbekistan";33;0;60;-27;2645;11;2136;498;66,0713482164357;41,1948054783965
"Venezuela";32;0;0;32;455;10;220;225;-65,79781784246;7,39818353816946
"Vietnam";24;0;8;16;312;0;260;52;106,111408476339;16,5251135678315
"Western Sahara";0;0;0;0;6;0;6;0;-12,3751668763473;24,4292637354422
"Yemen";15;0;0;15;85;12;1;72;47,2316271803114;15,6279064983792
"Zambia";208;0;0;208;654;7;124;523;28,8129970945161;-12,5042960548907
"Zimbabwe";0;0;1;-1;37;4;13;20;29,6405875262092;-19,1477854279911
